Borough,Park or Playground,Week Start Date,Week End date,Sunday Attendance,Monday Attendance,Tuesday Attendance,Wednesday Attendance,Thursday Attendance,Friday Attendance,Saturday Attendance,Total Attendance
Bronx,Flynn Playground - CPI,09/16/2018,09/22/2018,0,0,0,20,20,20,60,120
Bronx,St Mary's East Playground,09/16/2018,09/22/2018,0,0,12,0,0,21,12,45
Bronx,Martin Van Buren Playground,09/16/2018,09/22/2018,0,0,0,0,10,15,25,50
Brooklyn,Sternberg Park - CPI,09/16/2018,09/22/2018,0,15,136,332,187,209,0,879
Bronx,Horseshoe Playground - CPI,09/16/2018,09/22/2018,0,0,0,24,30,16,23,93
Bronx,Mott Playground - CPI,09/16/2018,09/22/2018,0,0,0,0,22,25,24,71
Bronx,PO Serrano Playground,09/16/2018,09/22/2018,0,0,0,18,20,23,0,61
Bronx,Dawson Playground - CPI,09/16/2018,09/22/2018,0,0,0,20,35,12,25,92
Bronx,Rev. James Polite Playground - CPI,09/16/2018,09/22/2018,0,0,0,9,10,0,15,34
Bronx,Tiffany Playground,09/16/2018,09/22/2018,0,0,0,17,31,38,13,99
Bronx,Claremont Park,09/16/2018,09/22/2018,0,0,0,0,30,25,55,110
Bronx,Slattery Playground - CPI,09/16/2018,09/22/2018,0,0,0,0,0,0,100,100
Queens,Queensbridge Park,09/02/2018,09/08/2018,0,0,0,9,0,39,80,128
Queens,Queensbridge Park,09/09/2018,09/15/2018,0,0,0,23,46,30,61,160
Queens,Linden Park,09/09/2018,09/15/2018,0,0,250,0,0,0,0,250
Queens,Linden Park,09/09/2018,09/15/2018,0,0,1,140,0,0,0,141
Queens,Playground for All Children - CPI,09/09/2018,09/15/2018,0,0,14,26,0,73,0,113
Queens,Rufus King Park,09/02/2018,09/08/2018,0,0,0,0,89,126,0,215
Queens,London Planetree,09/02/2018,09/08/2018,0,0,15,0,0,59,77,151
Queens,Colden Playground - CPI,09/02/2018,09/08/2018,0,0,0,0,0,140,0,140
Queens,Playground for All Children - CPI,09/02/2018,09/08/2018,0,0,0,0,0,62,0,62
Queens,Maple Playground - CPI,09/02/2018,09/08/2018,0,0,75,0,100,100,0,275
Queens,Charybdis Playground - CPI,09/02/2018,09/08/2018,0,0,82,76,92,78,15,343
Bronx,Flynn Playground - CPI,09/09/2018,09/15/2018,0,0,5,0,10,20,30,65
Bronx,Tiffany Playground,09/09/2018,09/15/2018,0,0,10,0,0,0,0,10
Bronx,Horseshoe Playground - CPI,09/09/2018,09/15/2018,0,0,12,0,20,24,27,83
Bronx,Claremont Park,09/09/2018,09/15/2018,0,0,35,0,25,35,50,145
Bronx,Mott Playground - CPI,09/09/2018,09/15/2018,0,0,16,0,21,0,20,57
Bronx,PO Serrano Playground,09/09/2018,09/15/2018,0,0,15,0,8,12,25,60
Brooklyn,Sternberg Park - CPI,09/09/2018,09/15/2018,0,36,0,59,77,93,0,265
Brooklyn,William Sheridan Playground - CPI,09/09/2018,09/15/2018,0,0,100,50,0,0,0,150
Bronx,Rev. James Polite Playground - CPI,09/09/2018,09/15/2018,0,0,3,0,5,8,15,31
Bronx,Slattery Playground - CPI,09/09/2018,09/15/2018,0,0,60,0,40,40,0,140
Bronx,St Mary's East Playground,09/09/2018,09/15/2018,0,0,10,0,15,17,0,42
