the_geom,wednesday_attendance,borough,park_or_playground,sunday_attendance,monday_attendance,tuesday_attendance,cartodb_id,thursday_attendance,friday_attendance,saturday_attendance,total_attendance,right_lat,right_lon
,0,Bronx,Martin Van Buren Playground,0,0,0,1,10,15,25,50,40.8353,-73.8959
,17,Bronx,Tiffany Playground,0,0,0,2,31,38,13,99,40.8249,-73.8944
,0,Bronx,Claremont Park,0,0,0,3,30,25,55,110,40.8424,-73.9091
,0,Bronx,Claremont Park,0,0,0,4,30,25,55,110,40.8379,-73.9081
,0,Queens,Linden Park,0,0,250,5,0,0,0,250,40.7486,-73.8619
,0,Queens,Linden Park,0,0,250,6,0,0,0,250,40.6593,-73.8875
,0,Queens,Linden Park,0,0,250,7,0,0,0,250,40.6587,-73.8867
,140,Queens,Linden Park,0,0,1,8,0,0,0,141,40.7486,-73.8619
,140,Queens,Linden Park,0,0,1,9,0,0,0,141,40.6593,-73.8875
,140,Queens,Linden Park,0,0,1,10,0,0,0,141,40.6587,-73.8867
,0,Queens,Rufus King Park,0,0,0,11,89,126,0,215,40.7041,-73.8035
,0,Bronx,Tiffany Playground,0,0,10,12,0,0,0,10,40.8249,-73.8944
,0,Bronx,Claremont Park,0,0,35,13,25,35,50,145,40.8424,-73.9091
,0,Bronx,Claremont Park,0,0,35,14,25,35,50,145,40.8379,-73.9081
,0,Bronx,Martin Van Buren Playground,0,0,15,15,18,25,0,58,40.8353,-73.8959
,80,Manhattan,Happy Warrior Playground,0,0,75,16,65,60,45,325,40.7954,-73.9685
,24,Brooklyn,Osborn Playground,0,0,24,17,25,28,27,128,40.6557,-73.9061
,21,Brooklyn,Osborn Playground,0,0,18,18,25,24,21,109,40.6557,-73.9061
,25,Brooklyn,Osborn Playground,0,0,20,19,26,32,31,134,40.6557,-73.9061
,24,Brooklyn,Osborn Playground,0,0,25,20,26,21,28,124,40.6557,-73.9061
,28,Brooklyn,Osborn Playground,0,0,20,21,23,21,26,118,40.6557,-73.9061
,23,Brooklyn,Osborn Playground,0,0,25,22,24,20,34,126,40.6557,-73.9061
,24,Brooklyn,Osborn Playground,0,0,24,23,26,28,27,129,40.6557,-73.9061
,28,Brooklyn,Osborn Playground,0,0,21,24,29,24,27,129,40.6557,-73.9061
,25,Brooklyn,Osborn Playground,0,0,25,25,26,27,21,124,40.6557,-73.9061
,18,Brooklyn,Osborn Playground,0,0,23,26,28,26,24,119,40.6557,-73.9061
,29,Brooklyn,Osborn Playground,0,0,21,27,25,29,18,122,40.6557,-73.9061
,25,Brooklyn,Osborn Playground,0,0,22,28,24,22,20,113,40.6557,-73.9061
,25,Brooklyn,Osborn Playground,0,0,22,29,28,23,24,122,40.6557,-73.9061
,29,Brooklyn,Osborn Playground,0,0,25,30,24,23,21,122,40.6557,-73.9061
,26,Brooklyn,Osborn Playground,0,0,21,31,25,24,19,115,40.6557,-73.9061
,25,Brooklyn,Osborn Playground,0,0,20,32,25,21,32,123,40.6557,-73.9061
,21,Brooklyn,Osborn Playground,0,0,25,33,17,29,26,118,40.6557,-73.9061
,22,Brooklyn,Osborn Playground,0,0,22,34,20,26,24,114,40.6557,-73.9061
,26,Brooklyn,Osborn Playground,0,0,25,35,20,28,22,121,40.6557,-73.9061
,90,Brooklyn,Maria Hernandez Park,0,0,90,36,84,72,69,405,40.7036,-73.9234
,90,Brooklyn,Maria Hernandez Park,0,0,90,37,84,72,69,405,40.7028,-73.9243
,75,Brooklyn,Maria Hernandez Park,0,0,80,38,75,74,82,386,40.7036,-73.9234
,75,Brooklyn,Maria Hernandez Park,0,0,80,39,75,74,82,386,40.7028,-73.9243
,75,Brooklyn,Maria Hernandez Park,0,0,80,40,83,71,77,386,40.7036,-73.9234
,75,Brooklyn,Maria Hernandez Park,0,0,80,41,83,71,77,386,40.7028,-73.9243
,82,Brooklyn,Maria Hernandez Park,0,0,70,42,75,92,76,395,40.7036,-73.9234
,82,Brooklyn,Maria Hernandez Park,0,0,70,43,75,92,76,395,40.7028,-73.9243
,80,Brooklyn,Maria Hernandez Park,0,0,80,44,81,82,88,411,40.7036,-73.9234
,80,Brooklyn,Maria Hernandez Park,0,0,80,45,81,82,88,411,40.7028,-73.9243
,14,Brooklyn,Fort Greene Playground,0,0,17,46,10,11,28,80,40.6924,-73.9771
,82,Brooklyn,Maria Hernandez Park,0,0,80,47,92,80,79,413,40.7036,-73.9234
,82,Brooklyn,Maria Hernandez Park,0,0,80,48,92,80,79,413,40.7028,-73.9243
,70,Brooklyn,Maria Hernandez Park,0,0,80,49,90,95,84,419,40.7036,-73.9234
,70,Brooklyn,Maria Hernandez Park,0,0,80,50,90,95,84,419,40.7028,-73.9243
,24,Brooklyn,Fort Greene Playground,0,0,26,51,31,24,27,132,40.6924,-73.9771
,25,Brooklyn,Fort Greene Playground,0,0,41,52,14,18,17,115,40.6924,-73.9771
,55,Bronx,Claremont Park,0,0,0,53,65,30,35,185,40.8424,-73.9091
,55,Bronx,Claremont Park,0,0,0,54,65,30,35,185,40.8379,-73.9081
,24,Brooklyn,Fort Greene Playground,0,0,32,55,31,24,40,151,40.6924,-73.9771
,22,Bronx,Martin Van Buren Playground,0,0,30,56,30,0,0,82,40.8353,-73.8959
,20,Bronx,Tiffany Playground,0,0,25,57,10,0,0,55,40.8249,-73.8944
,110,Queens,Lower Highland Playground,0,0,0,58,0,100,110,320,40.684,-73.8857
,0,Queens,Brookville Playground,0,0,100,59,96,50,17,263,40.6632,-73.7414
,70,Queens,Lower Highland Playground,0,0,130,60,140,190,330,860,40.684,-73.8857
,132,Queens,Brookville Playground,0,0,113,61,127,0,0,372,40.6632,-73.7414
,40,Manhattan,Thomas Jefferson Park,0,0,78,62,32,69,83,302,40.7922,-73.9355
,40,Manhattan,Thomas Jefferson Park,0,0,78,63,32,69,83,302,40.7934,-73.934
,0,Queens,Rufus King Park,0,0,0,64,160,173,205,538,40.7041,-73.8035
,0,Queens,Linden Park,0,0,170,65,225,200,0,595,40.7486,-73.8619
,0,Queens,Linden Park,0,0,170,66,225,200,0,595,40.6593,-73.8875
,0,Queens,Linden Park,0,0,170,67,225,200,0,595,40.6587,-73.8867
,70,Manhattan,Happy Warrior Playground,0,0,85,68,80,55,0,290,40.7954,-73.9685
,88,Manhattan,Thomas Jefferson Park,0,0,90,69,75,110,140,503,40.7922,-73.9355
,88,Manhattan,Thomas Jefferson Park,0,0,90,70,75,110,140,503,40.7934,-73.934
,60,Bronx,Loreto Playground,0,0,60,71,60,60,60,300,40.8491,-73.8521
,35,Bronx,Claremont Park,0,0,50,72,25,60,45,215,40.8424,-73.9091
,35,Bronx,Claremont Park,0,0,50,73,25,60,45,215,40.8379,-73.9081
,53,Bronx,Zimmerman Playground,0,0,67,74,78,91,74,363,40.8662,-73.8687
,55,Brooklyn,Carroll Park,0,45,50,75,60,50,0,260,40.6811,-73.9954
,50,Brooklyn,Carroll Park,0,45,50,76,55,60,0,260,40.6811,-73.9954
,23,Bronx,Tiffany Playground,0,0,45,77,32,12,0,112,40.8249,-73.8944
,0,Bronx,Martin Van Buren Playground,0,0,0,78,0,0,0,0,40.8353,-73.8959
,65,Manhattan,Happy Warrior Playground,0,0,75,79,0,80,90,310,40.7954,-73.9685
,98,Manhattan,Thomas Jefferson Park,0,0,110,80,0,180,200,588,40.7922,-73.9355
,98,Manhattan,Thomas Jefferson Park,0,0,110,81,0,180,200,588,40.7934,-73.934
,45,Staten Island,Dugan Playground,0,0,35,82,49,58,65,252,40.5614,-74.1108
,86,Manhattan,Thomas Jefferson Park,0,0,95,83,77,68,50,376,40.7922,-73.9355
,86,Manhattan,Thomas Jefferson Park,0,0,95,84,77,68,50,376,40.7934,-73.934
,275,Queens,Linden Park,0,0,370,85,0,0,0,645,40.7486,-73.8619
,275,Queens,Linden Park,0,0,370,86,0,0,0,645,40.6593,-73.8875
,275,Queens,Linden Park,0,0,370,87,0,0,0,645,40.6587,-73.8867
,35,Bronx,Tiffany Playground,0,0,58,88,47,41,27,208,40.8249,-73.8944
